SchoolYear,districtNumber,districtName,schoolNumber,virtualProvider,schoolName,elaGrade03Achievement,elaAchievement,elaGains,elaGainsLowest25,mathAchievement,mathGains,mathGainsLowest25,scienceAchievement,socialStudiesAchievement,middleSchoolAcceleration,graduationRate,highSchoolAcceleration,totalPoints,totalComponents,totalPercentage,percentTested,schoolgrade,isCollocated,collocatedNumber,isCharterSchool,isTitle,isAlternativeSchool,schoolType,economicallyDisadvantagedPercent
2023,05,BREVARD,6061,,Surfside Elementary School,,75,,,79,,,86,,,,,240,3,80,99,A,N,,NO,NO,N,01,25.4
2023,05,BREVARD,6071,,Ocean Breeze Elementary School,,74,,,74,,,77,,,,,225,3,75,100,A,N,,NO,NO,N,01,25.9
2023,05,BREVARD,6081,,Indialantic Elementary School,,77,,,79,,,82,,,,,238,3,79,98,A,N,,NO,NO,N,01,21.7
2023,05,BREVARD,6101,,Gemini Elementary School,,79,,,84,,,66,,,,,229,3,76,100,A,N,,NO,NO,N,01,21.4
2023,05,BREVARD,6141,,Dr. W.J. Creel Elementary School,,42,,,37,,,36,,,,,115,3,38,99,C,N,,NO,YES,N,01,100
2023,05,BREVARD,6511,,Educational Horizons Charter,,76,,,84,,,62,,,,,222,3,74,98,A,N,,YES,NO,N,01,35.4
2023,05,BREVARD,6515,,Imagine Schools at West Melbourne,,54,,,47,,,58,,,,,159,3,53,100,B,N,,YES,YES,N,01,90
2023,05,BREVARD,6541,,Odyssey Preparatory Charter Academy,,55,,,60,,,56,,,,,171,3,57,100,B,N,,YES,YES,N,01,93
2023,06,BROWARD,0011,,Deerfield Beach Elementary School,,45,,,43,,,36,,,,,124,3,41,100,C,N,,NO,YES,N,01,100
2023,06,BROWARD,0031,,Oakland Park Elementary School,,29,,,29,,,42,,,,,100,3,33,99,C,N,,NO,YES,N,01,100
2023,06,BROWARD,0041,,North Side Elementary School,,39,,,46,,,35,,,,,120,3,40,100,C,N,,NO,YES,N,01,100
2023,06,BROWARD,0101,,Dania Elementary School,,48,,,56,,,41,,,,,145,3,48,100,C,N,,NO,YES,N,01,100
2023,06,BROWARD,0111,,Hollywood Hills Elementary School,,62,,,62,,,56,,,,,180,3,60,100,B,N,,NO,NO,N,01,68.8
2023,06,BROWARD,0121,,Hollywood Central Elementary School,,36,,,47,,,23,,,,,106,3,35,99,C,N,,NO,YES,N,01,95.1
2023,06,BROWARD,0151,,Riverland Elementary School,,43,,,49,,,13,,,,,105,3,35,97,C,N,,NO,YES,N,01,100
2023,06,BROWARD,0161,,West Hollywood Elementary School,,41,,,55,,,13,,,,,109,3,36,100,C,N,,NO,YES,N,01,100
2023,06,BROWARD,0191,,Wilton Manors Elementary School,,53,,,55,,,50,,,,,158,3,53,100,B,N,,NO,YES,N,01,100
2023,06,BROWARD,0201,,Bennett Elementary School,,38,,,38,,,26,,,,,102,3,34,99,C,N,,NO,YES,N,01,100
2023,06,BROWARD,0221,,Croissant Park Elementary School,,40,,,51,,,48,,,,,139,3,46,100,C,N,,NO,YES,N,01,100
2023,06,BROWARD,0231,,Colbert Elementary School,,33,,,37,,,26,,,,,96,3,32,98,D,N,,NO,YES,N,01,100
2023,06,BROWARD,0271,,Dillard Elementary School,,25,,,38,,,21,,,,,84,3,28,97,D,N,,NO,YES,N,01,100
2023,06,BROWARD,0321,,Walker Elementary School,,19,,,28,,,14,,,,,61,3,20,97,F,N,,NO,YES,N,01,100
2023,06,BROWARD,0331,,Collins Elementary School,,34,,,47,,,18,,,,,99,3,33,100,C,N,,NO,YES,N,01,100
2023,06,BROWARD,0341,,Mary M Bethune Elementary School,,32,,,46,,,23,,,,,101,3,34,100,C,N,,NO,YES,N,01,100
2023,06,BROWARD,0391,,Deerfield Park Elementary School,,31,,,44,,,21,,,,,96,3,32,99,D,N,,NO,YES,N,01,100
2023,06,BROWARD,0461,,Oakridge Elementary School,,29,,,31,,,33,,,,,93,3,31,99,D,N,,NO,YES,N,01,100
2023,06,BROWARD,0491,,Harbordale Elementary School,,72,,,71,,,45,,,,,188,3,63,100,A,N,,NO,NO,N,01,39.6
2023,06,BROWARD,0501,,Broward Estates Elementary School,,30,,,27,,,12,,,,,69,3,23,100,D,N,,NO,YES,N,01,100
2023,06,BROWARD,0511,,Watkins Elementary School,,40,,,39,,,36,,,,,115,3,38,100,C,N,,NO,YES,N,01,100
2023,06,BROWARD,0521,,North Andrews Gardens Elementary School,,48,,,58,,,37,,,,,143,3,48,100,C,N,,NO,YES,N,01,100
2023,06,BROWARD,0531,,Miramar Elementary School,,51,,,64,,,24,,,,,139,3,46,100,C,N,,NO,YES,N,01,100
2023,06,BROWARD,0561,,Norcrest Elementary School,,37,,,52,,,39,,,,,128,3,43,100,C,N,,NO,YES,N,01,100
2023,06,BROWARD,0571,,Tedder Elementary School,,33,,,43,,,37,,,,,113,3,38,99,C,N,,NO,YES,N,01,100
2023,06,BROWARD,0611,,Sunland Park Academy,,38,,,49,,,,,,,,87,2,44,92,C,N,,NO,YES,N,01,100
2023,06,BROWARD,0621,,Larkdale Elementary School,,31,,,52,,,16,,,,,99,3,33,99,C,N,,NO,YES,N,01,100
2023,06,BROWARD,0631,,Westwood Heights Elementary School,,40,,,53,,,19,,,,,112,3,37,97,C,N,,NO,YES,N,01,100
2023,06,BROWARD,0641,,Bayview Elementary School,,89,,,89,,,90,,,,,268,3,89,100,A,N,,NO,NO,N,01,23.8
2023,06,BROWARD,0691,,Stirling Elementary School,,45,,,42,,,42,,,,,129,3,43,100,C,N,,NO,YES,N,01,100
2023,06,BROWARD,0711,,Orange Brook Elementary School,,37,,,45,,,17,,,,,99,3,33,100,C,N,,NO,YES,N,01,100
2023,06,BROWARD,0721,,Driftwood Elementary School,,39,,,43,,,20,,,,,102,3,34,99,C,N,,NO,YES,N,01,100
2023,06,BROWARD,0731,,Tropical Elementary School,,65,,,73,,,58,,,,,196,3,65,100,A,N,,NO,NO,N,01,53.3
2023,06,BROWARD,0751,,Pompano Beach Elementary School,,40,,,50,,,41,,,,,131,3,44,99,C,N,,NO,YES,N,01,100
2023,06,BROWARD,0761,,Meadowbrook Elementary School,,35,,,38,,,31,,,,,104,3,35,100,C,N,,NO,YES,N,01,100
2023,06,BROWARD,0811,,Broadview Elementary School,,38,,,43,,,23,,,,,104,3,35,99,C,N,,NO,YES,N,01,100
2023,06,BROWARD,0831,,Lake Forest Elementary School,,40,,,54,,,55,,,,,149,3,50,99,B,N,,NO,YES,N,01,100
2023,06,BROWARD,0841,,McNab Elementary School,,62,,,70,,,46,,,,,178,3,59,100,B,N,,NO,YES,N,01,78.2
2023,06,BROWARD,0851,,Floranada Elementary School,,74,,,78,,,68,,,,,220,3,73,100,A,N,,NO,YES,N,01,54
2023,06,BROWARD,0891,,Sanders Park Elementary School,,47,,,53,,,45,,,,,145,3,48,95,C,N,,NO,YES,N,01,100
2023,06,BROWARD,0901,,Cresthaven Elementary School,,44,,,52,,,28,,,,,124,3,41,100,C,N,,NO,YES,N,01,100
2023,06,BROWARD,0921,,Stephen Foster Elementary School,,51,,,58,,,34,,,,,143,3,48,99,C,N,,NO,YES,N,01,100
2023,06,BROWARD,0931,,Peters Elementary School,,50,,,61,,,29,,,,,140,3,47,99,C,N,,NO,YES,N,01,100
2023,06,BROWARD,0941,,Plantation Elementary School,,38,,,46,,,56,,,,,140,3,47,98,C,N,,NO,YES,N,01,100
2023,06,BROWARD,0971,,Boulevard Heights Elementary,,47,,,55,,,31,,,,,133,3,44,100,C,N,,NO,YES,N,01,100
2023,06,BROWARD,1091,,Lloyd Estates Elementary School,,33,,,46,,,39,,,,,118,3,39,100,C,N,,NO,YES,N,01,100
2023,06,BROWARD,1131,,Palmview Elementary School,,49,,,63,,,28,,,,,140,3,47,99,C,N,,NO,YES,N,01,100
2023,06,BROWARD,1161,,Margate Elementary School,,46,,,52,,,42,,,,,140,3,47,100,C,N,,NO,YES,N,01,99.6
2023,06,BROWARD,1171,,Sunshine Elementary School,,49,,,53,,,54,,,,,156,3,52,100,B,N,,NO,YES,N,01,100
2023,06,BROWARD,1191,,North Fork Elementary School,,33,,,46,,,34,,,,,113,3,38,96,C,N,,NO,YES,N,01,100
2023,06,BROWARD,1211,,Cooper City Elementary School,,74,,,79,,,57,,,,,210,3,70,100,A,N,,NO,NO,N,01,38.8
2023,06,BROWARD,1221,,Pembroke Pines Elementary School,,50,,,50,,,23,,,,,123,3,41,99,C,N,,NO,YES,N,01,100
2023,06,BROWARD,1251,,Plantation Park Elementary,,63,,,62,,,46,,,,,171,3,57,100,B,N,,NO,NO,N,01,51.3
2023,06,BROWARD,1271,,Nova Dwight D. Eisenhower Elementary School,,59,,,57,,,50,,,,,166,3,55,100,B,N,,NO,YES,N,01,100
2023,06,BROWARD,1282,,Nova Blanche Forman Elementary,,57,,,62,,,38,,,,,157,3,52,100,B,N,,NO,YES,N,01,98.8
2023,06,BROWARD,1321,,Sheridan Park Elementary School,,55,,,68,,,44,,,,,167,3,56,99,B,N,,NO,YES,N,01,97.8
2023,06,BROWARD,1381,,Lauderhill Paul Turner Elementary School,,39,,,51,,,22,,,,,112,3,37,100,C,N,,NO,YES,N,01,100
2023,06,BROWARD,1421,,Coconut Creek Elementary School,,46,,,44,,,36,,,,,126,3,42,100,C,N,,NO,YES,N,01,89.4
2023,06,BROWARD,1461,,Castle Hill Elementary School,,32,,,39,,,21,,,,,92,3,31,99,D,N,,NO,YES,N,01,100
2023,06,BROWARD,1611,,"Dr. Martin Luther King, Jr. Montessori Academy",,30,,,53,,,29,,,,,112,3,37,98,C,N,,NO,YES,N,01,100
2023,06,BROWARD,1621,,Village Elementary School,,40,,,40,,,17,,,,,97,3,32,99,D,N,,NO,YES,N,01,100
2023,06,BROWARD,1641,,Fairway Elementary School,,33,,,47,,,19,,,,,99,3,33,100,C,N,,NO,YES,N,01,100
2023,06,BROWARD,1671,,Robert C. Markham Elementary,,27,,,31,,,23,,,,,81,3,27,98,D,N,,NO,YES,N,01,100
2023,06,BROWARD,1761,,Hollywood Park Elementary School,,52,,,73,,,58,,,,,183,3,61,99,B,N,,NO,YES,N,01,100
2023,06,BROWARD,1781,,Cypress Elementary School,,34,,,42,,,41,,,,,117,3,39,99,C,N,,NO,YES,N,01,100
2023,06,BROWARD,1811,,Sheridan Hills Elementary School,,55,,,60,,,45,,,,,160,3,53,99,B,N,,NO,YES,N,01,100
2023,06,BROWARD,1831,,Oriole Elementary School,,43,,,46,,,26,,,,,115,3,38,98,C,N,,NO,YES,N,01,100
2023,06,BROWARD,1841,,Mirror Lake Elementary School,,49,,,57,,,45,,,,,151,3,50,100,B,N,,NO,YES,N,01,100
2023,06,BROWARD,1851,,Royal Palm Elementary School,,31,,,34,,,48,,,,,113,3,38,99,C,N,,NO,YES,N,01,100
2023,06,BROWARD,1951,,Park Ridge Elementary School,,29,,,39,,,24,,,,,92,3,31,99,D,N,,NO,YES,N,01,100
2023,06,BROWARD,1971,,James S. Hunt Elementary School,,40,,,48,,,43,,,,,131,3,44,100,C,N,,NO,YES,N,01,100
2023,06,BROWARD,2001,,Banyan Elementary School,,49,,,54,,,56,,,,,159,3,53,100,B,N,,NO,YES,N,01,100
2023,06,BROWARD,2011,,Coral Cove Elementary School,,67,,,69,,,67,,,,,203,3,68,100,A,N,,NO,YES,N,01,77.3
2023,06,BROWARD,2071,,Pasadena Lakes Elementary School,,50,,,60,,,67,,,,,177,3,59,100,B,N,,NO,YES,N,01,100
2023,06,BROWARD,2231,,North Lauderdale Elementary School,,33,,,49,,,30,,,,,112,3,37,99,C,N,,NO,YES,N,01,100
2023,06,BROWARD,2511,,Atlantic West Elementary School,,44,,,42,,,41,,,,,127,3,42,99,C,N,,NO,YES,N,01,100
2023,06,BROWARD,2531,,Horizon Elementary School,,47,,,56,,,35,,,,,138,3,46,100,C,N,,NO,YES,N,01,100
2023,06,BROWARD,2541,,Flamingo Elementary School,,61,,,62,,,55,,,,,178,3,59,100,B,N,,NO,YES,N,01,88.1
2023,06,BROWARD,2551,,Coral Springs Elementary School,,37,,,39,,,39,,,,,115,3,38,100,C,N,,NO,YES,N,01,100
2023,06,BROWARD,2621,,Tamarac Elementary School,,46,,,51,,,37,,,,,134,3,45,99,C,N,,NO,YES,N,01,100
2023,06,BROWARD,2631,,Forest Hills Elementary School,,52,,,64,,,39,,,,,155,3,52,100,B,N,,NO,YES,N,01,100
2023,06,BROWARD,2641,,Central Park Elementary School,,73,,,82,,,64,,,,,219,3,73,100,A,N,,NO,NO,N,01,40.6
2023,06,BROWARD,2661,,Pembroke Lakes Elementary School,,77,,,80,,,56,,,,,213,3,71,100,A,N,,NO,NO,N,01,51.3
2023,06,BROWARD,2671,,Nob Hill Elementary School,,56,,,65,,,53,,,,,174,3,58,100,B,N,,NO,YES,N,01,80.3
2023,06,BROWARD,2681,,Westchester Elementary School,,66,,,68,,,54,,,,,188,3,63,100,A,N,,NO,YES,N,01,57.4
2023,06,BROWARD,2691,,Morrow Elementary School,,36,,,41,,,23,,,,,100,3,33,99,C,N,,NO,YES,N,01,100
2023,06,BROWARD,2721,,Ramblewood Elementary School,,58,,,63,,,52,,,,,173,3,58,100,B,N,,NO,YES,N,01,76
2023,06,BROWARD,2741,,Maplewood Elementary School,,58,,,56,,,41,,,,,155,3,52,100,B,N,,NO,YES,N,01,84.9
2023,06,BROWARD,2801,,Davie Elementary School,,41,,,57,,,43,,,,,141,3,47,100,C,N,,NO,YES,N,01,100
2023,06,BROWARD,2811,,Pinewood Elementary School,,47,,,47,,,24,,,,,118,3,39,100,C,N,,NO,YES,N,01,100
2023,06,BROWARD,2851,,Griffin Elementary School,,73,,,80,,,61,,,,,214,3,71,100,A,N,,NO,NO,N,01,34.8
2023,06,BROWARD,2861,,Pines Lakes Elementary School,,41,,,44,,,31,,,,,116,3,39,100,C,N,,NO,YES,N,01,100
2023,06,BROWARD,2871,,Sea Castle Elementary School,,62,,,69,,,38,,,,,169,3,56,100,B,N,,NO,YES,N,01,100
2023,06,BROWARD,2881,,Welleby Elementary School,,67,,,69,,,51,,,,,187,3,62,100,A,N,,NO,YES,N,01,86.7
2023,06,BROWARD,2891,,Riverglades Elementary School,,74,,,80,,,50,,,,,204,3,68,100,A,N,,NO,NO,N,01,19.9
2023,06,BROWARD,2942,,Everglades Elementary School,,82,,,91,,,78,,,,,251,3,84,100,A,N,,NO,NO,N,01,20
2023,06,BROWARD,2961,,Chapel Trail Elementary School,,67,,,69,,,57,,,,,193,3,64,100,A,N,,NO,NO,N,01,38.5
2023,06,BROWARD,2981,,Country Isles Elementary School,,70,,,75,,,65,,,,,210,3,70,100,A,N,,NO,NO,N,01,29.2
2023,06,BROWARD,3031,,Riverside Elementary School,,63,,,70,,,69,,,,,202,3,67,100,A,N,,NO,NO,N,01,44.8
2023,06,BROWARD,3041,,Coral Park Elementary School,,58,,,66,,,69,,,,,193,3,64,99,A,N,,NO,YES,N,01,77.8
2023,06,BROWARD,3061,,Sandpiper Elementary School,,58,,,64,,,51,,,,,173,3,58,100,B,N,,NO,YES,N,01,87
2023,06,BROWARD,3081,,Silver Ridge Elementary School,,66,,,70,,,42,,,,,178,3,59,99,B,N,,NO,NO,N,01,43.7
2023,06,BROWARD,3091,,Winston Park Elementary School,,67,,,70,,,46,,,,,183,3,61,100,B,N,,NO,NO,N,01,53.1
2023,06,BROWARD,3111,,Country Hills Elementary School,,68,,,73,,,60,,,,,201,3,67,100,A,N,,NO,NO,N,01,41.6
2023,06,BROWARD,3121,,Quiet Waters Elementary School,,53,,,63,,,42,,,,,158,3,53,100,B,N,,NO,YES,N,01,90
2023,06,BROWARD,3131,,Hawkes Bluff Elementary School,,70,,,83,,,51,,,,,204,3,68,100,A,N,,NO,NO,N,01,34.9
2023,06,BROWARD,3171,,Park Springs Elementary School,,66,,,76,,,66,,,,,208,3,69,100,A,N,,NO,NO,N,01,44.8
2023,06,BROWARD,3181,,Indian Trace Elementary School,,78,,,83,,,69,,,,,230,3,77,100,A,N,,NO,NO,N,01,28.3
2023,06,BROWARD,3191,,Embassy Creek Elementary School,,77,,,87,,,74,,,,,238,3,79,100,A,N,,NO,NO,N,01,22.7
2023,06,BROWARD,3221,,Charles Drew Elementary School,,28,,,46,,,57,,,,,131,3,44,98,C,N,,NO,YES,N,01,100
2023,06,BROWARD,3291,,Thurgood Marshall Elementary School,,35,,,41,,,23,,,,,99,3,33,98,C,N,,NO,YES,N,01,100
2023,06,BROWARD,3301,,Endeavour Primary Learning Center,,47,,,66,,,,,,,,113,2,57,98,B,N,,NO,YES,N,01,100
